;Gyruda, Doom of Depths;Jegantha, the Wellspring;Kaheera, the Orphanguard;Keruga, the Macrosage;Lurrus of the Dream-Den;Lutri, the Spellchaser;Obosh, the Preypiercer;Umori, the Collector;Yorion, Sky Nomad;Zirda, the Dawnwaker;Links
Standard Challenge APRIL 19 2020  ;3;0;0;11;5;0;2;1;1;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2020-04-19
"
Standard Challenge APRIL 20 2020  ;0;1;1;10;7;0;1;0;2;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2020-04-20
"
Standard Super APRIL 22 2020  ;0;0;0;15;3;0;4;0;3;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-super-qualifier-2020-04-22
"
Standard Preliminary APRIL 23 2020  ;0;0;0;2;2;0;1;0;2;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-preliminary-2020-04-23
"
Standard Challenge APRIL 26 2020  ;0;1;1;12;3;0;1;1;6;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2020-04-26
"
Standard Challenge APRIL 27 2020  ;0;0;0;6;5;0;0;0;10;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2020-04-27
"
Standard Preliminary APRIL 29 2020  ;0;0;0;2;0;0;0;1;3;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-preliminary-2020-04-29
"
Standard Preliminary MAY 1 2020  ;0;0;0;1;1;0;0;1;2;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-preliminary-2020-05-01
"
