Modern Preliminary MAY 1 2020  ;Modern Preliminary APRIL 30 2020  ;Modern Preliminary APRIL 29 2020  ;Modern Challenge APRIL 27 2020  ;Modern Super APRIL 26 2020  ;Modern Challenge APRIL 26 2020  ;Modern Preliminary APRIL 25 2020  ;Modern Preliminary APRIL 23 2020  ;Modern Premier APRIL 22 2020  ;Modern Premier APRIL 22 2020  ;Modern Preliminary APRIL 22 2020  ;Modern Challenge APRIL 20 2020  ;Modern Super APRIL 19 2020  ;Modern Challenge APRIL 19 2020  ;Modern Preliminary APRIL 18 2020  
;;Obosh, the Preypiercer;Other;Other;Lurrus of the Dream-Den;;Other;;;;Other;Other;Lurrus of the Dream-Den;
;;Other;Other;Other;Lurrus of the Dream-Den;;Other;;;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;
;;Lurrus of the Dream-Den;Obosh, the Preypiercer;Zirda, the Dawnwaker;Other;;Lurrus of the Dream-Den;;;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Jegantha, the Wellspring;
;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Gyruda, Doom of Depths;;Lurrus of the Dream-Den;;;;Other;Other;Other;
;;Lurrus of the Dream-Den;Other;Other;Lurrus of the Dream-Den;;Other;;;;Other;Other;Other;
;;Other;Other;Lurrus of the Dream-Den;Other;;Other;;;;Other;Other;Lurrus of the Dream-Den;
;;;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;;Other;;;;Yorion, Sky Nomad;Lurrus of the Dream-Den;Other;
;;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;;Other;;;;Other;Other;Other;
;;;Other;Other;Other;;Lurrus of the Dream-Den;;;;Other;Other;Lurrus of the Dream-Den;
;;;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;;Other;;;;Lurrus of the Dream-Den;Other;Other;
;;;;;;;Other;;;;;;;
;;;;;;;Lurrus of the Dream-Den;;;;;;;
