;Mono Black Aggro;Vampires;Bant Spirits;UW Spirits;Arclight Phoenix;Simic Ramp;Mono Green Ramp;Heliod Ballista;Scales;Rally the Ancestors;Underworld Lotus;Combo Lotus;UB Control;UW Control;Niv-Mizzet Reborn;Mono Red Aggro;GB Delirium;Boros Burn;Green Stompy;UR Ensoul;Temur Reclamation;Naya Winota;Lotus Breach;Inverter;Orzhov Sram Auras;Feather Heroic;Links
Pioneer League JUNE 8 2020  ;1;1;1;0;0;0;0;3;0;1;0;0;0;0;1;2;1;0;1;1;0;1;1;3;1;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-league-2020-06-08
"
Pioneer Showcase JUNE 8 2020  ;2;1;1;0;0;0;0;3;0;0;0;0;0;1;0;2;0;0;0;0;0;1;4;11;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-showcase-challenge-2020-06-08
"
