;Gyruda, Doom of Depths;Jegantha, the Wellspring;Kaheera, the Orphanguard;Keruga, the Macrosage;Lurrus of the Dream-Den;Lutri, the Spellchaser;Obosh, the Preypiercer;Umori, the Collector;Yorion, Sky Nomad;Zirda, the Dawnwaker;Links
Pioneer Preliminary JULY 2 2020  ;0;0;0;0;1;0;0;0;1;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-preliminary-2020-07-02
"
Pioneer League JULY 2 2020  ;0;0;0;0;4;0;0;0;1;1;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-league-2020-07-02
"
Pioneer League JULY 6 2020  ;0;0;0;0;3;0;0;0;2;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-league-2020-07-06
"
Pioneer League JULY 9 2020  ;0;0;0;0;3;0;0;0;2;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-league-2020-07-09
"
