;Gyruda, Doom of Depths;Jegantha, the Wellspring;Kaheera, the Orphanguard;Keruga, the Macrosage;Lurrus of the Dream-Den;Lutri, the Spellchaser;Obosh, the Preypiercer;Umori, the Collector;Yorion, Sky Nomad;Zirda, the Dawnwaker;Links
Legacy Preliminary APRIL 18 2020  ;0;0;0;0;2;0;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2020-04-18
"
Legacy Challenge APRIL 19 2020  ;4;0;0;0;11;0;0;0;1;4;"https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-challenge-2020-04-19
"
Legacy Challenge APRIL 20 2020  ;0;1;0;0;17;0;0;0;1;4;"https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-challenge-2020-04-20
"
Legacy Preliminary APRIL 22 2020  ;0;1;0;0;9;0;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2020-04-22
"
Legacy Preliminary APRIL 25 2020  ;0;0;0;0;6;0;0;0;2;2;"https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2020-04-25
"
Legacy Challenge APRIL 26 2020  ;2;0;0;0;18;0;0;0;2;1;"https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-challenge-2020-04-26
"
Legacy Challenge APRIL 27 2020  ;1;0;0;0;20;0;0;0;1;2;"https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-challenge-2020-04-27
"
Legacy Preliminary APRIL 29 2020  ;0;0;0;0;13;0;0;0;1;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-preliminary-2020-04-29
"
Legacy Super MAY 1 2020  ;0;0;0;0;24;0;0;0;1;1;"https://magic.wizards.com/en/articles/archive/mtgo-standings/legacy-super-qualifier-2020-05-01
"
